"Date","Site.Name","COUNTY","latitude_mean","longitude_mean","Month","Year","AQI_PM2.5","AQI_Ozone"
2020-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,38
2020-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2020,45.5,NA
2020-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,15.5,NA
2020-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,27.3333333333333,NA
2020-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,28.3333333333333,NA
2020-01-09,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,38
2020-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,19,31
2020-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,24.6666666666667,NA
2020-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,10.5,NA
2020-01-09,"Linville Falls","Avery",35.972347,-81.933072,1,2020,5,NA
2020-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,24,NA
2020-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2020,23.5,32
2020-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,18,NA
2020-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,27.5,35
2020-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2020,38,NA
2020-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,11.5,NA
2020-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,33,NA
2020-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,34,NA
2020-01-10,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,45
2020-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,24,28
2020-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,28,NA
2020-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,21.5,NA
2020-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,17.5,NA
2020-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,2020,27.6666666666667,30
2020-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,26,NA
2020-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,26.5,27
2020-01-11,"Bryson City","Swain",35.434767,-83.442133,1,2020,28,NA
2020-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,14,NA
2020-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,47.5,NA
2020-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,44,NA
2020-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,0,51
2020-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,33,27.5
2020-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,43.3333333333333,NA
2020-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,22.5,NA
2020-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,2020,3,NA
2020-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,40,NA
2020-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,2020,31.25,27
2020-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,24.6666666666667,NA
2020-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,38.5,29
2020-01-12,"Bryson City","Swain",35.434767,-83.442133,1,2020,28.5,NA
2020-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,9,NA
2020-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,40,NA
2020-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,31.3333333333333,NA
2020-01-12,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,13,37
2020-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,36.75,30
2020-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,42,NA
2020-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,12.5,NA
2020-01-12,"Linville Falls","Avery",35.972347,-81.933072,1,2020,26,NA
2020-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,27.5,NA
2020-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,2020,33,32
2020-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,18.3333333333333,NA
2020-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,24,30
2020-01-13,"Bryson City","Swain",35.434767,-83.442133,1,2020,17,NA
2020-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,6.5,NA
2020-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,14.5,NA
2020-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,24,NA
2020-01-13,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,36
2020-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,15,27.5
2020-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,13.5,NA
2020-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,1.5,NA
2020-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,8.5,NA
2020-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,2020,20.3333333333333,30.5
2020-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,5.5,NA
2020-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,8,29
2020-01-14,"Bryson City","Swain",35.434767,-83.442133,1,2020,18,NA
2020-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,13,NA
2020-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,29.5,NA
2020-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,28,NA
2020-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,6,28
2020-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,25.25,25.5
2020-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,24.75,NA
2020-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,15.5,NA
2020-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,2020,10,NA
2020-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,21.5,NA
2020-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,2020,33.25,29
2020-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,19.6666666666667,NA
2020-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,21.5,29
2020-01-15,"Bryson City","Swain",35.434767,-83.442133,1,2020,28,NA
2020-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,25,NA
2020-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,36.3333333333333,NA
2020-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,48,NA
2020-01-15,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,4,44
2020-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,33,24.5
2020-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,39,NA
2020-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,24,NA
2020-01-15,"Linville Falls","Avery",35.972347,-81.933072,1,2020,11,NA
2020-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,35,NA
2020-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,2020,47.75,22
2020-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,37.3333333333333,NA
2020-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,37.5,23
2020-01-16,"Bryson City","Swain",35.434767,-83.442133,1,2020,39.5,NA
2020-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,24.5,NA
2020-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,55,NA
2020-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,57,NA
